description,fdcId,dataType,publishedDate,brands,categories,code
"Waffle, fruit, frozen",2708315,Survey (FNDDS),2024-10-31,,,
"Yogurt parfait, with fruit",2705450,Survey (FNDDS),2024-10-31,,,
"Fruit salad, excluding citrus fruits, with nondairy whipped topping",2709298,Survey (FNDDS),2024-10-31,,,
"Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise",2709296,Survey (FNDDS),2024-10-31,,,
"Fruit salad, including citrus fruits, with nondairy whipped topping",2709304,Survey (FNDDS),2024-10-31,,,
"Fruit salad, including citrus fruits, with salad dressing or mayonnaise",2709302,Survey (FNDDS),2024-10-31,,,
Skin Carotenoid Status of Black/African American College Students Correlates with Plasma Carotenoids and Fruit and Vegetable Intake Independent of Skin Tone,2353618,Experimental,2022-10-28,,,
"Rice, brown, with vegetables and gravy, fat added",2709124,Survey (FNDDS),2024-10-31,,,
"Rice, brown, with vegetables and gravy, no added fat",2709123,Survey (FNDDS),2024-10-31,,,
"Rice, brown, with vegetables and gravy, NS as to fat",2709122,Survey (FNDDS),2024-10-31,,,
"Rice, white, with vegetables and gravy, fat added",2709115,Survey (FNDDS),2024-10-31,,,
"Rice, white, with vegetables and gravy, no added fat",2709114,Survey (FNDDS),2024-10-31,,,
"Rice, white, with vegetables and gravy, NS as to fat",2709113,Survey (FNDDS),2024-10-31,,,
"Egg white, omelet, scrambled, or fried, with vegetables",2707292,Survey (FNDDS),2024-10-31,,,
"Rice, brown, with other vegetables, fat added",2709070,Survey (FNDDS),2024-10-31,,,
"Rice, brown, with other vegetables, no added fat",2709069,Survey (FNDDS),2024-10-31,,,
"Rice, brown, with other vegetables, NS as to fat",2709068,Survey (FNDDS),2024-10-31,,,
"Rice, white, with other vegetables, fat added",2709028,Survey (FNDDS),2024-10-31,,,
"Rice, white, with other vegetables, no added fat",2709027,Survey (FNDDS),2024-10-31,,,
"Rice, white, with other vegetables, NS as to fat",2709026,Survey (FNDDS),2024-10-31,,,
"Chicken with rice and vegetable, diet frozen meal",2707110,Survey (FNDDS),2024-10-31,,,
"Pizza with cheese and extra vegetables, thin crust",2708629,Survey (FNDDS),2024-10-31,,,
"Egg substitute, omelet, scrambled, or fried, with vegetables",2707302,Survey (FNDDS),2024-10-31,,,
"Fruit cocktail, canned, NFS",2709289,Survey (FNDDS),2024-10-31,,,
"Pizza with cheese and extra vegetables, medium crust",2708630,Survey (FNDDS),2024-10-31,,,
"Tomato and vegetable juice, 100%, low sodium",2709732,Survey (FNDDS),2024-10-31,,,
"Classic mixed vegetables, NS as to form, cooked",2710015,Survey (FNDDS),2024-10-31,,,
"Pizza with cheese and extra vegetables, thick crust",2708631,Survey (FNDDS),2024-10-31,,,
"Fruit cocktail, canned, in syrup",2709290,Survey (FNDDS),2024-10-31,,,
"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",173485,SR Legacy,2019-04-01,,,
"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Fruit and Creme",169646,SR Legacy,2019-04-01,,,
"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits",169590,SR Legacy,2019-04-01,,,
"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Tropical fruits",168823,SR Legacy,2019-04-01,,,
"Pasta with cream sauce and added vegetables, restaurant",2708858,Survey (FNDDS),2024-10-31,,,
Frozen fruit juice bar,2709312,Survey (FNDDS),2024-10-31,,,
"Cookie, fruit-filled bar",2707928,Survey (FNDDS),2024-10-31,,,
"Roll, sweet, with fruit, frosted",2707671,Survey (FNDDS),2024-10-31,,,
"Baby Toddler multiple vegetables, Stage 2",2710127,Survey (FNDDS),2024-10-31,,,
"Baby Toddler multiple vegetables, Stage 3",2710128,Survey (FNDDS),2024-10-31,,,
"Babyfood, dinner, turkey, rice, and vegetables, toddler",172286,SR Legacy,2019-04-01,,,
"Babyfood, dinner, vegetables and dumplings and beef, junior",173488,SR Legacy,2019-04-01,,,
"Babyfood, dinner, vegetables and dumplings and beef, strained",172256,SR Legacy,2019-04-01,,,
"Babyfood, dinner, vegetables and noodles and turkey, junior",172268,SR Legacy,2019-04-01,,,
"Babyfood, dinner, vegetables and noodles and turkey, strained",172267,SR Legacy,2019-04-01,,,
"Babyfood, dinner, vegetables, noodles and chicken, junior",172265,SR Legacy,2019-04-01,,,
"Babyfood, dinner, vegetables, noodles and chicken, strained",173499,SR Legacy,2019-04-01,,,
"Beef shish kabob with vegetables, excluding potatoes",2706730,Survey (FNDDS),2024-10-31,,,
"Beef with spaetzle or rice, vegetable, frozen meal",2707104,Survey (FNDDS),2024-10-31,,,
"Cheese, cottage cheese, with gelatin dessert and vegetables",2705780,Survey (FNDDS),2024-10-31,,,
"Cheese, cottage, lowfat, 1% milkfat, with vegetables",167716,SR Legacy,2019-04-01,,,
"Chicken, fried, with potatoes, vegetable, frozen meal",2707106,Survey (FNDDS),2024-10-31,,,
